Date,Name,Description_1,Description_2
"Jul 26, 2024",Deadpool & Wolverine (2024),Action Comedy Sci-Fi,Ryan Reynolds Hugh Jackman Emma Corrin Morena Baccarin
"Aug 01, 2024",Raayan (2024),Action Drama,Dhanush Nithya Menen Prakash Raj S.J. Suryah
"Aug 02, 2024",Gharat Ganpati (2024),Family,Nikita Dutta Ashwini Bhave Shubhangi Latkar Ajinkya Deo
"Aug 09, 2024",Purushothamudu (2024),Drama,Brahmaji Brahmanandam Shinde Hassini Mukesh Khanna
"Aug 15, 2024",Chor Chor (2024),Comedy Drama,Anurag Prapanna Sunil Vishrani Hemang Shah Rajan Rathod
"Aug 22, 2024",Ajay Gadu (2024),Action,Bhanusri Ajay Kumar Kathurvar Shweta Mehta Kousi Orfahli
"Aug 27, 2024",Carry on Jattiye (2024),Drama,Gippy Grewal Sargun Mehta Hina Khan Sunil Grover
"Aug 28, 2024",The U P Files (2024),Drama,Manjari Fadnnis Manoj Joshi Ali Asgar Milind Gunaji
"Aug 30, 2024",Manje Bistre 3 (2024),Adventure Drama Family,Gippy Grewal Gurpreet Ghuggi Karamjit Anmol Raghveer Boli
"Sep 06, 2024",Troy the Bharat Putra (2024),Drama,Kumaar Aadarsh Anuja Jain Sanjeev Srivastava Nitin Katare
"Sep 07, 2024",Roopanthara (2024),Comedy Drama Family,Raj B. Shetty Hanumakka Jaishankar Aryar Kabbinale Shabareesh
"Sep 12, 2024",Uparwala & Sons (2024),Action Crime,Anvayaksh Prerna Rawat Akshay Panwar Nambardar Hitarth Oberoi
"Sep 13, 2024",Mafia (2024),Crime Drama Thriller,Prajwal Devaraj Aditi Prabhudeva Devaraj Vijay Chendoor
"Sep 18, 2024",Kenda (2024),Drama,Gopalkrishna Deshpande Pruthvi Banwasi Rekha Kudligi B V Bharath
"Sep 19, 2024",Panchayat Jetty (2024),Action Crime Mystery,Salim Hasan Manikandan Rachana Narayanankutty Mani Shornur
"Sep 20, 2024",Level Cross (2024),Drama,Asif Ali Amala Paul Sharafudheen
"Sep 27, 2024",Raktaksha (2024),Crime Horror Mystery,Archana Kottige Pramod Shetty Vilas Kulkarni Roopa Rayappa
"Oct 02, 2024",Ishwar Kya Che? (2024),Thriller,Prajakta Gaikwad Ashwini Kulkarni Madhav Abhyankar Pranav Raorane
"Oct 04, 2024",Google Aai (2024),Action Drama Romance,Arbaaz Khan Murli Sharma Tanikella Bharani Digangana Suryavanshi
"Oct 09, 2024",Shivam Bhaje (2024),Thriller,Josh Hartnett Hayley Mills Alison Pill Saleka Shyamalan
"Oct 10, 2024",Trap (2024),Sport,Gayathri Ashok Manju Warrier Vishak Nair
"Oct 11, 2024",Footage (2024),Drama Thriller,Ajay Devgn Tabu Jimmy Shergill Saiee Manjrekar
"Oct 12, 2024",Auron Mein Kahan DumTha (2024),Comedy Drama Family,Janhvi Kapoor Rajesh Tailang Gulshan Devaiah Roshan Mathew
"Oct 17, 2024",Ulajh (2024),Comedy Thriller,Abarnathi Lingesh Suresh Chandra Menon Master Ashwin
"Oct 18, 2024",Narkarappor (2024),Comedy,Vikrant Massey Raashi Khanna Ridhi Dogra Prince Kashyap
"Oct 25, 2024",The Sabarmati Report (2024),Drama,Amrinder Gill Zafri Khan Sohaila Kaur Pukhraj Sandhu
"Oct 31, 2024",Daaru Na Peenda Hove (2024),Action,K.S. Ravikumar Vamsi Krishna Munishkanth Redin Kingsley
"Nov 01, 2024",Vasco Da Gama (2024),Drama,Shine Tom Chacko Aju Varghese Deepti Sati Chinnu Chandni Nair
"Nov 11, 2024",Thaanara (2024),Crime Family Horror,Krishna Vamsi Mokksha Brahmaji Venkatesh Kakumanu
"Nov 12, 2024",Alanaati Ramachandrudu (2024),Comedy Drama Family,Neha Mahajan Ankit Mohan Smita Tambe Sanjay Khapre
"Nov 15, 2024",Babu (2024),Drama,Yogi Babu Gouri Kishan M.S. Bhaskar Kulappulli Leela
"Nov 22, 2024",Boat (2024),Action Adventure Sci-Fi,Shriya Athnikar Rajendra Bhambhulkar Chittaranjan Giri Chhaya Kadam
"Nov 29, 2024",Bardovi (2024),Thriller,Amith Chakalakkal Vinay Forrt Mokksha Johny Antony
"Dec 06, 2024",Chithini (2024),Action Romance,Monal Gajjar Parikshit Tamalia Tiku Talsania Kalpana Gagdekar
"Dec 13, 2024",Vaar Tahevaar (2024),Action,Rocket Raghava Radhika Sarathkumar Sangeerthana Vipin S.S. Kanchi
"Dec 14, 2024",Operation Raavan (2024),Drama Romance,Rajendra Gunjal Shivraj Walvekar Chinmay Udgirkar Sanjay Khapre
"Dec 20, 2024",Raghu 350 (2024),Documentary Biography Drama,Gayatri Bhardwaj Allu Sirish Ajmal Ameer Sriram Reddy Polasane
"Dec 25, 2024",Buddy (2024),Comedy Drama Family,Manasvi Kottachi Miya Sree Tharunkumar
"Dec 27, 2024",Kanmani Pappa (2024),Thriller,Vennela Kishore Mohammad Ali Seerat Kapoor Sree Kamal
"Jan 10, 2025",Usha Parinayam (2024),Thriller,Raj Tarun Malvi Malhotra Makrand Deshpande Mannara Chopra
"Jan 22, 2025",Thiragabadara Saami (2024),Drama,Basil Joseph Joemon Jyothir Vinayak Mali Siju Sunny
